Area,Weight
2824.5,1173
3478,1283
2696,1152
2014,1037
2558,1128
1831.5,1007
2055.5,1044
2176,1064
1418.5,937
3102,1206
2729.5,1157
2876,1182
2905.5,1187
2514.5,1121
9760,2336
9157.5,2235
10741.5,2501
5532,1627
1570.5,963
1444.5,942
4186,1401
934,856
5390,1603
773.5,829
5672,1747
1611.5,912
1121.5,732
6286,1891
894,817
5900,1703
712.4,781
